reserve_target_units,full_shop_buyout_rate,plausible_offer_economic_pass_rate,selective_median_score,buy_all_median_score,selective_score_lift,five_cost_core_acceptance,five_cost_off_plan_acceptance,five_cost_composition_spread,minimum_package_five_cost_composition_spread,premium_purchase_mean_wager_reduction,passes_all_gates,gate_full_shop_buyout_under_10_percent,gate_economic_pass_at_least_30_percent,gate_selective_beats_buy_all,gate_five_cost_acceptance_composition_spread_at_least_35_points,gate_premium_purchase_reduces_next_wager_at_least_8_percent
50,0.0059791666666666665,0.622807597480657,26.410973009147774,11.157145802547236,1.3671800545187827,0.30704649440025666,0.0,0.30704649440025666,0.0,0.24400061704010634,False,True,True,True,False,True
75,0.014104166666666666,0.4087626789618693,40.387082786330126,13.434590637208489,2.0062012216787553,0.6853082537037489,0.0,0.6853082537037489,0.44132727096836605,0.26057860820750156,True,True,True,True,True,True
100,0.020649999999999998,0.294333089288198,61.361070614377894,20.153472197153267,2.0446897692917307,0.7424816442698233,0.0,0.7424816442698233,0.48768191762579666,0.21363095389145975,False,True,False,True,True,True
