policy,simulations,survival_rate,median_chapters_completed,p10_bankroll,median_bankroll,p90_bankroll,median_total_earned,median_contracts_bought,mean_win_probability,mean_bet_fraction,mean_all_in_rate,target_chapters,selected_payout_bonus,selected_contract_share,selection_score,sweep_simulations_per_policy,sweep_chapters
odds_aware,5000,0.7018,40.0,0.41,3523.62,2472855348.96,31809.88,28.0,0.6701,0.2917,0.0083,40,,,,,
fixed_25,5000,0.7024,40.0,0.35,1396.54,170401732.03,15162.99,21.0,0.6635,0.2691,0.0085,40,,,,,
conservative,5000,0.8166,40.0,0.72,1081.82,29739.63,8502.5,13.0,0.6086,0.1843,0.0065,40,,,,,
ten_x_floor,5000,0.6134,40.0,0.27,14.14,832696.43,540.66,2.0,0.4676,0.1608,0.007,40,,,,,
all_in,5000,0.0,0.0,0.0,0.46,0.64,15.63,0.0,0.746,0.9787,0.4496,40,,,,,
_selected_model,5000,,,,,,,,,,,40,0.45,0.2,0.908187,200,40
